Parameter,Pre_Monsoon_Median,Post_Monsoon_Median,Change_Percent,p_value,Significant
Chlorophyll_a,200.7333221435547,193.6544189453125,-3.5265212186244304,0.2586938237104266,No
Turbidity_FNU,45.184226989746094,14.751952171325684,-67.35154465589635,0.0016484088404945909,Yes
TSS,230.592041015625,183.01097106933594,-20.634307123837353,0.0260094996451696,Yes
CDOM,94.13246154785156,66.3375473022461,-29.527448649025416,0.011305417017290788,Yes
Secchi_Depth,2.278168201446533,2.04195499420166,-10.36855869969954,0.012801270554306769,Yes
FAI,0.19402597844600677,0.09433380514383316,-51.38083781389913,0.003179624420213214,Yes
