,Chlorophyll_a,Chlorophyll_a_NDCI,Turbidity_FNU,TSS,CDOM,Secchi_Depth,FAI
count,99.0,99.0,99.0,99.0,99.0,99.0,99.0
mean,206.88,69.62,46.34,230.17,100.14,2.27,0.16
std,55.77,22.57,46.49,92.8,58.64,0.38,0.07
min,107.57,18.23,6.91,105.84,17.52,1.45,0.01
25%,171.59,55.3,14.14,165.02,64.62,2.04,0.11
50%,200.38,69.66,26.61,203.66,83.94,2.2,0.17
75%,228.8,83.56,73.56,269.56,108.25,2.38,0.22
max,422.69,119.37,243.02,534.99,398.97,3.53,0.28
